Food Name,Calories,Protein (g),Fat (g),Carbohydrates (g),Source
"Flour, semolina, coarse and semi-coarse",,11.7,1.6,73.8,USDA
"Flour, semolina, fine",,13.3,1.84,72.0,USDA
"Apple juice, with added vitamin C, from concentrate, shelf stable",,0.086,0.286,11.4,USDA
"Orange juice, no pulp, not fortified, from concentrate, refrigerated",,0.734,0.325,10.3,USDA
"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",,0.258,0.288,15.6,USDA
"Grape juice, white, with added vitamin C, from concentrate, shelf stable",,0.094,0.265,15.8,USDA
"Cranberry juice, not fortified, from concentrate, shelf stable",,0.0,0.338,7.26,USDA
"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",,0.57,0.267,9.1,USDA
"Tomato juice, with added ingredients, from concentrate, shelf stable",,0.859,0.288,4.32,USDA
"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",,0.812,0.356,10.0,USDA
"Mushroom, portabella",,2.75,0.312,4.66,USDA
"Mushroom, king oyster",,2.41,0.308,8.5,USDA
"Mushroom, enoki",,2.42,0.245,8.14,USDA
"Mushroom, crimini",,3.09,0.197,4.01,USDA
"Mushroom, maitake",,2.2,0.265,6.6,USDA
"Mushroom, beech",,2.18,0.449,6.76,USDA
"Mushroom, pioppini",,3.5,0.24,5.76,USDA
"Soy milk, sweetened, plain, refrigerated",,2.78,1.96,3.0,USDA
"Almond milk, unsweetened, plain, refrigerated",,0.656,1.56,0.671,USDA
"Oat milk, unsweetened, plain, refrigerated",,0.797,2.75,5.1,USDA
"Carrots, mature, raw",,0.941,0.351,10.3,USDA
"Carrots, baby, raw",,0.805,0.138,9.08,USDA
"Peppers, bell, green, raw",,0.715,0.106,4.78,USDA
"Peppers, bell, yellow, raw",,0.819,0.121,6.6,USDA
"Peppers, bell, red, raw",,0.896,0.126,6.65,USDA
"Peppers, bell, orange, raw",,0.882,0.156,6.7,USDA
"Buttermilk, low fat",,3.46,1.08,4.81,USDA
"Yogurt, plain, whole milk",,3.82,4.48,5.57,USDA
"Yogurt, Greek, plain, whole milk",,8.78,4.39,4.75,USDA
"Cheese, parmesan, grated, refrigerated",,30.1,29.5,4.33,USDA
"Cheese, feta, whole milk, crumbled",,19.7,19.1,5.58,USDA
"Flour, almond",,26.2,50.2,16.2,USDA
