Food Name,Calories,Protein (g),Fat (g),Carbohydrates (g)
"Plum, black, with skin, raw",,0.578,0.282,13.5
"Rice, red, unenriched, dry, raw",,8.56,3.44,76.2
"Sorghum bran, white, unenriched, dry, raw",,11.2,9.26,68.7
"Sorghum flour, white, pearled, unenriched, dry, raw",,10.2,3.24,73.5
"Sorghum grain, white, pearled, unenriched, dry, raw",,10.2,3.26,74.9
"Sorghum, whole grain, white, dry, raw",,10.1,4.22,73.6
"Plantains, overripe, raw",,1.17,0.99,29.2
"Chicken, drumstick, meat and skin, raw",,18.4,5.94,-0.475
"Chicken, thigh, meat and skin, raw",,17.1,13.4,-0.173
"Chicken, wing, meat and skin, raw",,18.4,10.6,-0.459
"Chicken, breast, meat and skin, raw",,21.4,4.78,-0.428
"Lamb, ground, raw",,17.5,18.6,-0.251
"Bison, ground, raw",,19.9,8.88,-0.15
"Beef, short loin (NY strip steak), raw",,21.3,11.5,0.221
"Beef, tenderloin steak, raw",,21.1,6.46,0.18
"Beef, top sirloin steak, raw",,22.0,5.71,0.218
"Pork, chop, center cut, raw",,22.8,5.48,-0.562
"Pork, belly, with skin, raw",,15.2,35.8,-0.705
"Pawpaw, peeled, seeded, raw",,1.15,,
"Squash, pie pumpkin, peeled, seeded, raw",,0.854,,
"Squash, spaghetti, peeled, seeded, raw",,0.792,,
"Rutabaga, peeled, raw",,0.888,,
"Blackberries, raw",,1.53,,
"Tomatillos, dehusked, raw",,1.06,,
"Cabbage, napa, leaf, destemmed, raw",,1.06,,
"Leeks, bulb and greens, root removed, raw",,1.47,,
"Green onion, (scallion), bulb and greens, root removed, raw",,0.669,,
"Shallots, bulb, peeled, root removed, raw",,1.38,,
"Juice, prune, shelf-stable",,0.423,,
"Juice, pomegranate, from concentrate, shelf-stable",,0.0,,
"Juice, tart cherry, from concentrate, shelf-stable",,0.147,,
